entity,entityLabel,category,property,propertyLabel,year,sitelinks
http://www.wikidata.org/entity/Q1832,gadolinium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1880,133
http://www.wikidata.org/entity/Q1843,dysprosium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1886,131
http://www.wikidata.org/entity/Q1901,nobelium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1958,132
http://www.wikidata.org/entity/Q1905,lawrencium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1961,130
http://www.wikidata.org/entity/Q1853,thulium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1879,127
http://www.wikidata.org/entity/Q1846,holmium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1878,129
http://www.wikidata.org/entity/Q1849,erbium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1843,130
http://www.wikidata.org/entity/Q1819,samarium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1879,135
http://www.wikidata.org/entity/Q21601948,Q-carbon,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,2015,11
http://www.wikidata.org/entity/Q1801,lanthanum,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1839,140
http://www.wikidata.org/entity/Q1855,ytterbium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1878,130
http://www.wikidata.org/entity/Q3245302,Tylenol,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1955,12
http://www.wikidata.org/entity/Q1857,lutetium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1906,135
http://www.wikidata.org/entity/Q1898,mendelevium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1955,131
http://www.wikidata.org/entity/Q1896,fermium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1952,132
http://www.wikidata.org/entity/Q1809,promethium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1945,134
http://www.wikidata.org/entity/Q1882,berkelium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1949,132
http://www.wikidata.org/entity/Q1888,californium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1950,134
http://www.wikidata.org/entity/Q1892,einsteinium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1952,135
http://www.wikidata.org/entity/Q1820048,Haarlem oil,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1696,6
http://www.wikidata.org/entity/Q1838,terbium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1843,130
http://www.wikidata.org/entity/Q1876,curium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1944,132
http://www.wikidata.org/entity/Q1872,americium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1944,135
http://www.wikidata.org/entity/Q880,platinum,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1557,156
http://www.wikidata.org/entity/Q1119,hafnium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1922,144
http://www.wikidata.org/entity/Q1089,palladium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1803,144
http://www.wikidata.org/entity/Q1306,tennessine,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,2009,117
http://www.wikidata.org/entity/Q1306,tennessine,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,2010,117
http://www.wikidata.org/entity/Q623,carbon,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1789,211
http://www.wikidata.org/entity/Q670,silicon,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1823,172
http://www.wikidata.org/entity/Q568,lithium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1817,192
http://www.wikidata.org/entity/Q1396,europium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1901,138
http://www.wikidata.org/entity/Q1094,indium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1863,142
http://www.wikidata.org/entity/Q722,vanadium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1801,154
http://www.wikidata.org/entity/Q731,manganese,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1774,158
http://www.wikidata.org/entity/Q660,magnesium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1755,170
http://www.wikidata.org/entity/Q1304,livermorium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,2000,124
http://www.wikidata.org/entity/Q1108,caesium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1860,150
http://www.wikidata.org/entity/Q1128,radium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1898,156
http://www.wikidata.org/entity/Q941,yttrium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1787,142
http://www.wikidata.org/entity/Q1100,tellurium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1783,143
http://www.wikidata.org/entity/Q629,oxygen,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1771,224
http://www.wikidata.org/entity/Q629,oxygen,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1774,224
http://www.wikidata.org/entity/Q1098,uranium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1789,173
http://www.wikidata.org/entity/Q1386,praseodymium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1841,133
http://www.wikidata.org/entity/Q743,tungsten,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1783,149
http://www.wikidata.org/entity/Q1388,neodymium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1885,133
http://www.wikidata.org/entity/Q658,sodium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1807,179
http://www.wikidata.org/entity/Q1046,niobium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1801,146
http://www.wikidata.org/entity/Q877,iridium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1803,148
http://www.wikidata.org/entity/Q1109,protactinium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1917,135
http://www.wikidata.org/entity/Q861,gallium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1875,153
http://www.wikidata.org/entity/Q1385,cerium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1804,135
http://www.wikidata.org/entity/Q1087,rhodium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1803,142
http://www.wikidata.org/entity/Q740,cobalt,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1735,158
http://www.wikidata.org/entity/Q1232,dubnium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1970,133
http://www.wikidata.org/entity/Q999,astatine,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1940,143
http://www.wikidata.org/entity/Q1115,thorium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1828,142
http://www.wikidata.org/entity/Q716,titanium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1791,161
http://www.wikidata.org/entity/Q560,helium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1868,201
http://www.wikidata.org/entity/Q1053,molybdenum,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1778,144
http://www.wikidata.org/entity/Q1038,zirconium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1789,142
http://www.wikidata.org/entity/Q938,strontium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1787,149
http://www.wikidata.org/entity/Q1266,darmstadtium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1994,128
http://www.wikidata.org/entity/Q618,boron,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1808,170
http://www.wikidata.org/entity/Q618,boron,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1892,170
http://www.wikidata.org/entity/Q888,krypton,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1898,156
http://www.wikidata.org/entity/Q876,selenium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1817,152
http://www.wikidata.org/entity/Q1102,plutonium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1941,149
http://www.wikidata.org/entity/Q979,polonium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1898,146
http://www.wikidata.org/entity/Q1249,bohrium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1976,132
http://www.wikidata.org/entity/Q713,scandium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1879,149
http://www.wikidata.org/entity/Q1234,seaborgium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1974,135
http://www.wikidata.org/entity/Q1106,xenon,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1898,151
http://www.wikidata.org/entity/Q663,aluminium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1825,200
http://www.wikidata.org/entity/Q1103,iodine,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1811,160
http://www.wikidata.org/entity/Q556,hydrogen,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1766,230
http://www.wikidata.org/entity/Q674,phosphorus,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1669,173
http://www.wikidata.org/entity/Q1278,copernicium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1996,127
http://www.wikidata.org/entity/Q703,potassium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1807,170
http://www.wikidata.org/entity/Q1258,meitnerium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1982,132
http://www.wikidata.org/entity/Q671,francium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1939,153
http://www.wikidata.org/entity/Q682,sulfur,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1777,187
http://www.wikidata.org/entity/Q871,arsenic,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1300,160
http://www.wikidata.org/entity/Q1307,oganesson,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,2002,128
http://www.wikidata.org/entity/Q1303,moscovium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,2003,125
http://www.wikidata.org/entity/Q1123,tantalum,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1802,143
http://www.wikidata.org/entity/Q1226,rutherfordium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1964,137
http://www.wikidata.org/entity/Q654,neon,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1898,177
http://www.wikidata.org/entity/Q1272,roentgenium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1994,129
http://www.wikidata.org/entity/Q650,fluorine,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1810,171
http://www.wikidata.org/entity/Q1133,radon,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1899,153
http://www.wikidata.org/entity/Q1112,barium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1772,155
http://www.wikidata.org/entity/Q1112,barium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1808,155
http://www.wikidata.org/entity/Q744,nickel,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1751,158
http://www.wikidata.org/entity/Q1086,ruthenium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1844,141
http://www.wikidata.org/entity/Q895,rubidium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1861,148
http://www.wikidata.org/entity/Q1054,technetium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1937,142
http://www.wikidata.org/entity/Q737,rhenium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1925,141
http://www.wikidata.org/entity/Q688,chlorine,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1774,171
http://www.wikidata.org/entity/Q569,beryllium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1798,179
http://www.wikidata.org/entity/Q696,argon,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1894,166
http://www.wikidata.org/entity/Q867,germanium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1886,147
http://www.wikidata.org/entity/Q1105,neptunium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1940,141
http://www.wikidata.org/entity/Q1302,flerovium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1999,124
http://www.wikidata.org/entity/Q932,thallium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1861,141
http://www.wikidata.org/entity/Q1121,actinium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1899,141
http://www.wikidata.org/entity/Q725,chromium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1797,160
http://www.wikidata.org/entity/Q1252,hassium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1984,135
http://www.wikidata.org/entity/Q627,nitrogen,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1772,198
http://www.wikidata.org/entity/Q1091,cadmium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1817,151
http://www.wikidata.org/entity/Q1301,nihonium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,2006,126
http://www.wikidata.org/entity/Q879,bromine,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1825,153
http://www.wikidata.org/entity/Q706,calcium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1808,178
http://www.wikidata.org/entity/Q751,osmium,Science,http://www.wikidata.org/prop/direct/P575,http://www.wikidata.org/prop/direct/P575,1804,146
