event,eventLabel,category,property,propertyLabel,value,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q2330241,K-1 World MAX 2005 Championship final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,3500,5,,2024-03-14T18:19:43Z
http://www.wikidata.org/entity/Q2059094,UFC on Fuel TV 1,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,7120,5,,2023-12-02T02:42:47Z
http://www.wikidata.org/entity/Q116893958,UFC 288,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17559,6,,2023-10-11T00:26:00Z
http://www.wikidata.org/entity/Q24909757,2016 All-Ireland Senior Football Championship Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,82249,3,,2023-10-31T16:39:11Z
http://www.wikidata.org/entity/Q24909757,2016 All-Ireland Senior Football Championship Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,82257,3,,2023-10-31T16:39:11Z
http://www.wikidata.org/entity/Q13489126,UFC 165,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,15504,7,,2023-12-02T03:05:25Z
http://www.wikidata.org/entity/Q60513455,UFC Fight Night 145,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,16583,7,,2023-10-20T22:04:45Z
http://www.wikidata.org/entity/Q117374187,UFC 289,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17628,5,,2023-10-11T00:23:52Z
http://www.wikidata.org/entity/Q113630223,UFC on ESPN 42,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17065,5,,2024-08-17T18:41:31Z
http://www.wikidata.org/entity/Q112039370,UFC on ABC 3,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,16979,5,,2023-10-11T00:40:04Z
http://www.wikidata.org/entity/Q111946056,UFC on ESPN 37,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,13689,5,,2024-09-16T09:10:38Z
http://www.wikidata.org/entity/Q115803958,UFC 286,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17588,6,,2024-06-11T01:50:17Z
http://www.wikidata.org/entity/Q108899189,UFC 270,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17387,7,,2024-02-02T18:58:12Z
http://www.wikidata.org/entity/Q84557203,UFC 248,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,15077,8,,2024-01-16T16:29:12Z
http://www.wikidata.org/entity/Q728442,UFC 129,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,55724,8,,2024-11-06T13:53:52Z
http://www.wikidata.org/entity/Q106432965,UFC 264,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,20062,7,,2024-02-02T18:56:13Z
http://www.wikidata.org/entity/Q64184442,UFC on ESPN 6,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,12066,8,,2024-08-26T03:33:29Z
http://www.wikidata.org/entity/Q111031823,UFC on ESPN 33,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,18630,6,,2024-08-12T00:48:33Z
http://www.wikidata.org/entity/Q64184439,UFC Fight Night 160,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,12767,9,,2024-09-09T07:18:32Z
http://www.wikidata.org/entity/Q110714837,UFC 276,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,19649,6,,2024-02-05T00:15:28Z
http://www.wikidata.org/entity/Q115553619,UFC 284,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,14124,5,,2024-02-05T00:15:18Z
http://www.wikidata.org/entity/Q60767249,UFC 238,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,16083,9,,2023-10-20T21:59:32Z
http://www.wikidata.org/entity/Q105952641,UFC 263,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17208,8,,2024-02-05T00:15:44Z
http://www.wikidata.org/entity/Q2056048,UFC 140,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,18303,8,,2023-12-02T02:40:25Z
http://www.wikidata.org/entity/Q28843011,2019 UEFA Europa League Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,51370,26,,2024-04-06T13:17:06Z
http://www.wikidata.org/entity/Q48964714,Helsinki Ice Challenge,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,16000,3,,2024-09-27T05:58:37Z
http://www.wikidata.org/entity/Q111973026,UFC 277,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,19442,6,,2024-03-03T05:47:17Z
http://www.wikidata.org/entity/Q107735409,UFC 268,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,20715,7,,2024-02-02T18:57:42Z
http://www.wikidata.org/entity/Q106645482,UFC 266,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,19029,8,,2024-02-05T00:15:43Z
http://www.wikidata.org/entity/Q64184440,UFC Fight Night 161,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10597,8,,2023-10-20T21:53:36Z
http://www.wikidata.org/entity/Q105672305,UFC 261,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,15269,9,,2024-02-02T18:56:06Z
http://www.wikidata.org/entity/Q55879867,Q55879867,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,100,1,,2023-10-22T05:05:30Z
http://www.wikidata.org/entity/Q115857639,UFC 285,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,19471,7,,2024-02-05T00:15:26Z
http://www.wikidata.org/entity/Q60767247,UFC Fight Night 154,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,7682,8,,2024-10-14T01:21:22Z
http://www.wikidata.org/entity/Q76035833,UFC 247,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17401,8,,2024-01-19T03:48:14Z
http://www.wikidata.org/entity/Q111169406,UFC Fight Night: Blaydes vs. Aspinall,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17813,6,,2024-02-05T00:15:53Z
http://www.wikidata.org/entity/Q113364560,UFC 282,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,18455,6,,2024-02-05T00:15:38Z
http://www.wikidata.org/entity/Q116730088,UFC on ABC 4,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,18712,5,,2023-10-11T00:25:34Z
http://www.wikidata.org/entity/Q123752317,"Toulouse FC - Lille OSC, 6 May 2018",Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,26251,1,,2023-12-11T20:53:50Z
http://www.wikidata.org/entity/Q105555341,UFC 262,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,16005,8,,2024-02-05T00:15:34Z
http://www.wikidata.org/entity/Q75008215,UFC 246,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,19040,8,,2023-10-20T04:05:20Z
http://www.wikidata.org/entity/Q18737063,Wolverhampton Wanderers F.C. v Budapest Honvéd FC,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,55000,2,,2023-10-20T04:49:15Z
http://www.wikidata.org/entity/Q48964714,Helsinki Ice Challenge,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17645,3,,2024-09-27T05:58:37Z
http://www.wikidata.org/entity/Q64184429,UFC on ESPN 4,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,9255,8,,2023-10-20T21:57:40Z
http://www.wikidata.org/entity/Q24196961,2016 All-Ireland Senior Camogie Championship Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,20037,1,,2023-06-02T09:13:18Z
http://www.wikidata.org/entity/Q4565523,1945 All-Ireland Senior Hurling Championship Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,69459,1,,2023-05-01T15:29:32Z
http://www.wikidata.org/entity/Q112623207,UFC Fight Night: Gane vs. Tuivasa,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,15405,6,,2023-10-11T00:37:08Z
http://www.wikidata.org/entity/Q111915023,UFC 280,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,13400,6,,2024-02-05T00:15:21Z
http://www.wikidata.org/entity/Q106652148,UFC 265,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,16604,8,,2024-02-05T00:15:46Z
http://www.wikidata.org/entity/Q60513441,UFC 234,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,15238,7,,2023-10-20T22:05:34Z
http://www.wikidata.org/entity/Q24775010,UFC 202,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,15539,9,,2023-12-02T04:01:01Z
http://www.wikidata.org/entity/Q54824113,Q54824113,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,3122,1,,2021-02-19T15:29:01Z
http://www.wikidata.org/entity/Q284163,2022 FIFA World Cup,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,3404252,129,,2024-11-21T12:13:28Z
http://www.wikidata.org/entity/Q48989913,Philly Special,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,67612,3,,2024-06-24T16:59:01Z
http://www.wikidata.org/entity/Q64184457,UFC 243,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,57127,9,,2023-10-20T21:53:59Z
http://www.wikidata.org/entity/Q20831438,UFC 193,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,56214,9,,2023-12-02T03:44:02Z
http://www.wikidata.org/entity/Q28183250,2017 NRL Grand Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,79722,2,,2023-10-07T20:21:23Z
http://www.wikidata.org/entity/Q110664523,UFC 274,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17232,7,,2024-02-05T00:15:31Z
http://www.wikidata.org/entity/Q27984761,2016 NCAA Division I Men's Soccer Championship Game,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,6315,2,,2023-06-02T09:13:56Z
http://www.wikidata.org/entity/Q111973161,UFC 275,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10787,6,,2024-02-21T03:09:31Z
http://www.wikidata.org/entity/Q2195787,K-1 World Grand Prix 2006 in Tokyo Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,54800,4,,2020-08-15T23:22:28Z
http://www.wikidata.org/entity/Q2701906,UFC 2,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,2000,12,,2024-10-18T09:03:11Z
http://www.wikidata.org/entity/Q64184436,UFC Fight Night 158,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,15114,8,,2023-10-20T21:55:05Z
http://www.wikidata.org/entity/Q4571036,1963 All-Ireland Senior Hurling Championship Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,73123,1,,2023-06-02T08:49:36Z
http://www.wikidata.org/entity/Q2082462,UFC 152,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,16800,8,,2023-12-02T02:48:54Z
http://www.wikidata.org/entity/Q84557201,UFC Fight Night 169,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,7098,8,,2023-11-01T00:22:22Z
http://www.wikidata.org/entity/Q19672232,2023 FIFA Women's World Cup,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,1902490,52,,2024-11-21T17:37:04Z
http://www.wikidata.org/entity/Q7852584,UFC 162,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,12964,7,,2023-12-02T03:02:07Z
http://www.wikidata.org/entity/Q15808845,Q15808845,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,8000,1,,2021-02-17T21:21:26Z
http://www.wikidata.org/entity/Q107504100,UFC 267,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10171,7,,2024-02-05T00:15:40Z
http://www.wikidata.org/entity/Q48847716,UFC 232,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,15862,9,,2023-12-02T04:45:19Z
http://www.wikidata.org/entity/Q61961521,UFC 239,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,18358,9,,2024-05-01T07:10:42Z
http://www.wikidata.org/entity/Q109927659,UFC Fight Night 204,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17081,6,,2023-10-11T00:46:17Z
http://www.wikidata.org/entity/Q64184460,UFC 245,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,16811,8,,2023-10-20T04:06:06Z
http://www.wikidata.org/entity/Q109974871,UFC 272,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,19425,7,,2024-02-02T18:58:50Z
http://www.wikidata.org/entity/Q84154337,UFC Fight Night 167,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,6449,8,,2023-10-20T04:04:01Z
http://www.wikidata.org/entity/Q1492807,Galway Races,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,150000,4,,2022-07-28T01:04:19Z
http://www.wikidata.org/entity/Q30335854,Q30335854,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,7694,1,,2021-02-18T00:54:15Z
http://www.wikidata.org/entity/Q112316820,UFC 278,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,18321,5,,2024-02-05T00:15:21Z
http://www.wikidata.org/entity/Q60767238,UFC Fight Night 151,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10960,7,,2023-09-04T08:35:37Z
http://www.wikidata.org/entity/Q3080547,British and Irish Lions XV in Paris 1989,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,28881,2,,2024-08-14T13:48:55Z
http://www.wikidata.org/entity/Q64184453,UFC 241,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17304,8,,2023-10-20T21:56:11Z
http://www.wikidata.org/entity/Q64184458,UFC 244,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,20143,8,,2024-10-13T15:38:40Z
http://www.wikidata.org/entity/Q60767246,UFC Fight Night 153,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,14319,8,,2024-09-23T04:12:21Z
http://www.wikidata.org/entity/Q64396145,UFC 240,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,12144,8,,2023-10-20T21:57:18Z
http://www.wikidata.org/entity/Q113677945,UFC 281,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,20845,6,,2024-04-08T12:33:26Z
http://www.wikidata.org/entity/Q20857028,UFC 195,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10300,9,,2023-12-02T03:46:40Z
http://www.wikidata.org/entity/Q48791520,2018 All-Ireland Senior Hurling Championship Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,82300,2,,2023-05-01T15:25:18Z
http://www.wikidata.org/entity/Q108131006,UFC 269,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,18471,8,,2024-02-05T00:15:30Z
http://www.wikidata.org/entity/Q3133259,K-1 World Grand Prix 2007 Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17667,4,,2020-08-15T23:22:43Z
http://www.wikidata.org/entity/Q112629074,UFC 279,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,19125,5,,2024-02-05T00:15:25Z
http://www.wikidata.org/entity/Q110325593,UFC 273,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,14605,6,,2024-02-05T00:15:38Z
http://www.wikidata.org/entity/Q112659439,UFC Fight Night: Vera vs. Cruz,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,12804,5,,2023-10-11T00:38:24Z
http://www.wikidata.org/entity/Q115804072,UFC on ESPN 43,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,16076,6,,2023-10-11T00:28:01Z
http://www.wikidata.org/entity/Q116006554,UFC on ESPN 44,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,16234,6,,2023-10-11T00:27:14Z
http://www.wikidata.org/entity/Q64184451,UFC on ESPN 7,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10816,8,,2023-11-27T13:07:04Z
http://www.wikidata.org/entity/Q60767253,UFC on ESPN 3,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10123,8,,2023-10-20T21:58:48Z
http://www.wikidata.org/entity/Q118414896,UFC 291,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,18467,5,,2023-10-11T00:20:23Z
http://www.wikidata.org/entity/Q75008230,UFC Fight Night 166,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,14533,8,,2024-08-12T00:48:39Z
http://www.wikidata.org/entity/Q60767240,UFC Fight Night 152,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,8132,7,,2023-10-20T22:00:14Z
http://www.wikidata.org/entity/Q109116312,UFC 271,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17872,7,,2024-02-02T18:58:14Z
http://www.wikidata.org/entity/Q64184430,UFC on ESPN 5,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10427,8,,2023-10-20T21:56:57Z
http://www.wikidata.org/entity/Q60767232,UFC 236,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,14297,7,,2023-10-20T22:01:52Z
http://www.wikidata.org/entity/Q84312124,UFC Fight Night 168,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10025,8,,2024-09-02T03:42:08Z
http://www.wikidata.org/entity/Q7241177,President's Overseas XV,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,50000,2,,2021-01-15T01:42:57Z
http://www.wikidata.org/entity/Q104425354,2020 Saudi Super Cup,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,0,5,,2024-04-24T06:05:25Z
http://www.wikidata.org/entity/Q64184427,UFC Fight Night 155,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10306,8,,2024-09-16T09:10:37Z
http://www.wikidata.org/entity/Q116257112,UFC 287,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,19032,6,,2023-10-11T00:27:38Z
http://www.wikidata.org/entity/Q4611409,2008 U.S. Open Cup Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,8212,2,,2023-04-21T18:57:51Z
